country,share_global_total,emissions_2023,emissions_2000,change_from_2000,region,iso3c,country_wdi,population_2023,population_2000,co2_per_capita_2023,co2_per_capita_2000,co2_per_capita_change
Central African Republic,0.001%,0.37,0.26,43,Sub-Saharan Africa,CAF,Central African Republic,5152421,3833416,0.07181090209825633,0.06782462430375415,0.003986277794502183
Cayman Islands,0.001%,0.36,0.13,172,Latin America & Caribbean,CYM,Cayman Islands,73038,39674,4.928941099153865,3.276705146947623,1.6522359522062415
Bermuda,0.001%,0.35,0.15000000000000002,133,North America,BMU,Bermuda,64698,61550,5.409749914989645,2.437043054427295,2.9727068605623495
Guinea-Bissau,0.001%,0.35,0.2,71,Sub-Saharan Africa,GNB,Guinea-Bissau,2153339,1234741,0.16253827195810785,0.16197728916428628,5.609827938215795e-4
Antigua and Barbuda,0.001%,0.32,0.14,139,Latin America & Caribbean,ATG,Antigua and Barbuda,93316,74912,3.429208281538,1.868859461768475,1.560348819769525
Comoros,0.001%,0.32,0.09,250,Sub-Saharan Africa,COM,Comoros,850387,536080,0.376299261395106,0.16788539024026264,0.20841387115484336
Saint Lucia,0.001%,0.3,0.1,207,Latin America & Caribbean,LCA,St. Lucia,179285,158616,1.673313439495775,0.6304534221011752,1.0428600173945997
Vanuatu,0.001%,0.29000000000000004,0.08,238,East Asia & Pacific,VUT,Vanuatu,320409,186281,0.9050931777821474,0.4294587209645643,0.4756344568175831
Belize,0.001%,0.28,0.14,101,Latin America & Caribbean,BLZ,Belize,411106,240799,0.6810895486808755,0.5813977632797478,0.09969178540112766
Western Sahara,0.001%,0.26,0.26,4,Africa,ESH,NA,NA,NA,NA,NA,NA
Tonga,0.001%,0.22,0.1,118,East Asia & Pacific,TON,Tonga,104597,102677,2.103310802413071,0.973927948810347,1.1293828536027242
São Tomé and Príncipe,0.001%,0.21,0.06,288,Sub-Saharan Africa,STP,Sao Tome and Principe,230871,144018,0.9095988668996973,0.4166145898429363,0.49298427705676096
Grenada,0.0004%,0.14,0.06,149,Latin America & Caribbean,GRD,Grenada,117081,107451,1.1957533673268934,0.5583940586872156,0.6373593086396778
Cook Islands,0.0004%,0.14,0.06,133,East Asia & Pacific,COK,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,0.0003%,0.12,0.05,140,Latin America & Caribbean,KNA,St. Kitts and Nevis,46758,45248,2.566405748748877,1.105021216407355,1.4613845323415222
Turks and Caicos Islands,0.0003%,0.1,0.02,481,Latin America & Caribbean,TCA,Turks and Caicos Islands,46198,18730,2.1645958699510803,1.0678056593699947,1.0967902105810856
Kiribati,0.0002%,0.1,0.03,197,East Asia & Pacific,KIR,Kiribati,132530,88613,0.7545461404964914,0.33855077697403313,0.41599536352245825
Saint Vincent and the Grenadines,0.0002%,0.1,0.04,131,Latin America & Caribbean,VCT,St. Vincent and the Grenadines,101323,113545,0.9869427474512203,0.3522832357215201,0.6346595117297003
Dominica,0.0002%,0.08,0.06,44,Latin America & Caribbean,DMA,Dominica,66510,68511,1.2028266426101337,0.875771773875728,0.3270548687344057
British Virgin Islands,0.0002%,0.08,0.03,172,Latin America & Caribbean,VGB,British Virgin Islands,38985,20241,2.0520713094780043,1.4821402104639099,0.5699310990140944
Saint Pierre and Miquelon,0.0001%,0.04,0.02,129,North America,SPM,NA,NA,NA,NA,NA,NA
Anguilla,0.0001%,0.02,0.02,48,Latin America & Caribbean,AIA,NA,NA,NA,NA,NA,NA
Falkland Islands,0.0000%,0.02,0.01,170,Latin America & Caribbean,FLK,NA,NA,NA,NA,NA,NA
"Saint Helena, Ascension and Tristan da Cunha",0.0000%,0.02,0.01,58,Africa,SHN,NA,NA,NA,NA,NA,NA
Faroe Islands,0.0000%,0,0,20,Europe & Central Asia,FRO,Faroe Islands,54414,45754,0,0,0
